조사지역,위도,경도
강화,37.7467263,126.4878731
거제,34.8806427,128.6210824
거창,35.6867229,127.9095155
고창,35.4358216,126.7020806
고흥,34.6112219,127.284978
광주,35.1595454,126.8526012
구미,36.119485,128.3445734
군산,35.9676772,126.7366293
금산,36.1086928,127.4880712
남원,35.416357,127.3904877
남해,34.8376721,127.8924234
대구,35.8714354,128.601445
대전,36.3504119,127.3845475
동두천,37.9034112,127.0605075
동해,37.5247192,129.1142915
목포,34.8118351,126.3921664
문경,36.586148,128.1867972
밀양,35.5037598,128.7464415
보령,36.3331629,126.6129441
보은,36.4894573,127.7294827
봉화,36.8930933,128.7323752
부산,35.1795543,129.0756416
부안,35.7315661,126.7334651
부여,36.2754406,126.910178
산청,35.4155885,127.8734981
상주,36.4109466,128.1590828
서귀포,33.2541205,126.560076
서산,36.7844993,126.4503169
서울,37.566535,126.9779692
속초,38.2070148,128.5918489
수원,37.2635727,127.0286009
안동,36.5683543,128.729357
양평,37.4912195,127.4875607
여수,34.7603737,127.6622221
영덕,36.4150799,129.3659681
영월,37.183637,128.4617535
영주,36.8056858,128.6240551
영천,35.9732915,128.9385493
완도,34.3110596,126.7550541
울릉도,37.5063677,130.8571536
울산,35.5383773,129.3113596
울진,36.9930661,129.4004195
원주,37.3422186,127.9201621
의성,36.3526576,128.6970053
이천,37.2719952,127.4348221
인제,38.0694675,128.1706991
인천,37.4562557,126.7052062
임실,35.6110549,127.2826599
장수,35.6472767,127.5211363
장흥,34.6816856,126.9069278
전주,35.8242238,127.1479532
정읍,35.5698855,126.8558955
제주,33.4996213,126.5311884
제천,37.1325821,128.1909481
진도,34.4868712,126.2634853
진주,35.1799817,128.1076213
창원,35.2279868,128.6818143
천안,36.815129,127.1138939
철원,38.146609,127.3132256
청주,36.6424341,127.4890319
춘천,37.8813153,127.7299707
태백,37.1640654,128.9855649
통영,34.8544227,128.433182
포항,36.0190178,129.3434808
합천,35.5665758,128.1657995
해남,34.5732516,126.5989274
홍천,37.6969518,127.8886827